Fylkesnr;Interkommunalt_samarbeidnavn;Interkommunalt_samarbeidnr
11;Bokn, Karmøy;1145,1149
11;Eigersund, Sokndal, Lund;1101,1111,1112
11;Haugesund, Utsira;1106,1151
11;Randaberg, Kvitsøy;1127,1144
11;Suldal, Sauda;1134,1135
11;Vindafjord, Etne;1160,4611
15;Kristiansund, Averøy, Gjemnes;1505,1554,1557
15;Molde, Vestnes, Aukra;1506,1535,1547
15;Stranda, Fjord;1525,1578
15;Tingvoll, Sunndal, Surnadal, Ringdal;1560,1563,1566,5061
15;Vanylven, Sande (Møre og Romsdal), Ulstein, Hareid, Ørsta, Volda;1511,1514,1516,1517,1520,1577
18;Bindal, Sømna, Brønnøy, Vega, Vevelstad;1811,1812,1813,1815,1816
18;Bodø, Rødøy, Gildeskål, Steigen, Røst, Værøy, Hamarøy;1804,1836,1838,1848,1856,1857, 1875
18;Flakstad, Vestvågøy, Moskenes;1859,1860,1874
18;Herøy (Nordland), Alstahaug, Leirfjord, Dønna;1818,1820,1822,1827
18;Lødingen, Hadsel, Bø (Nordland), Øksnes, Sortland, Andøy;1851,1866,1867,1868,1870,1871
18;Narvik, Evenes;1806,1853
18;Nesna, Træna;1828,1835
18;Vefsn, Grane;1824,1825
18;Beiarn, Saltdal;1839, 1840
33;Flesberg, Rollag, Nore og Uvdal;3334,3336,3338
33;Flå, Nesbyen, Gol, Hemsedal, Ål, Hol;3320,3322,3324,3326,3328,3330
33;Modum, Krødsherad, Sigdal;3316,3318,3332
34;Dovre, Lesja;3431,3432
34;Gjøvik, Søndre Land, Nordre Land;3407,3447,3448
34;Grue, Åsnes, Våler (Innlandet);3417,3418,3419
34;Nord-Fron, Sør-Fron, Ringebu;3436,3438,3439
34;Nord-Odal, Sør-Odal;3414,3415
34;Rendalen, Tolga, Tynset, Alvdal, Folldal;3424,3426,3427,3428,3429
34;Skjåk, Lom, Vågå, Sel;3433,3434,3435,3437
34;Sør-Aurdal, Etnedal, Nord-Aurdal, Øystre Slidre;3449,3450,3451,3453
34;Trysil, Engerdal;3421,3425
34;Vestre Slidre, Vang;3452,3454
34;Øyer, Gausdal;3440,3441
40;Kragerø, Drangedal;4014,4016
40;Nome, Midt-Telemark;4018,4020
40;Notodden, Hjartdal, Tinn ;4005,4024, 4026
40;Seljord, Kviteseid, Nissedal, Fyresdal, Tokke, Vinje;4022,4028,4030,4032,4034,4036
42;Bygland, Valle, Bykle;4220,4221,4222
42;Farsund, Flekkefjord, Lyngdal, Hægebostad, Kvinesdal, Sirdal;4206,4207,4225,4226,4227,4228
42;Iveland, Evje og Hornnes, Vennesla, Åseral;4218,4219,4223,4224
42;Kristiansand, Lillesand, Birkenes;4204,4215,4216
42;Risør, Gjerstad, Vegårshei, Tvedestrand, Åmli;4201,4211,4212,4213,4217
46;Alver, Austrheim, Fedje;4631,4632,4633
46;Aurland, Lærdal;4641,4642
46;Bømlo, Stord, Fitjar;4613,4614,4615
46;Masfjorden, Gulen;4634,4635
46;Sogndal, Luster;4640,4644
46;Solund, Hyllestad, Askvoll, Fjaler;4636,4637,4645,4646
46;Ullensvang, Eidfjord, Ulvik;4618,4619,4620
46;Vaksdal, Modalen, Osterøy;4628,4629,4630
50;Lierne, Raarvihke , Namsskogan, Grong, Høylandet;5042,5043,5044,5045,5046
50;Melhus, Skaun;5028,5029
50;Namsos, Overhalla, Flatanger;5007,5047,5049
50;Oppdal, Rennebu;5021,5022
50;Os, Røros, Holtålen;3430,5025,5026
50;Osen, Indre Fosen, Ørland, Åfjord;5020,5054,5057,5058
50;Selbu, Tydal, Meråker, Stjørdal, Frosta;5032,5033,5034,5035,5036
50;Steinkjer, Snåase , Inderøy;5006,5041,5053
50;Leka, Nærøysund;5052, 5060
55;Ibestad, Gratangen, Lavangen, Salangen, Dyrøy;5514,5516,5518,5522,5528
55;Sørreisa, Senja;5526, 5530
56;Hammerfest, Måsøy;5603,5618
56;Kvænangen, Alta, Loppa;5546,5601,5614
56;Nordkapp, Porsanger, Lebesby, Gamvik;5620, 5622, 5624,5626
56;Tana, Berlevåg, Båtsfjord, Nesseby;5628,5630, 5632, 5636
